Китайский	Английский	Русский
无损测试 	 ND test (Nondestructive) 	  Неразрушающий  контроль
水样检测 	 Water sample testing 	  Анализ  проб  воды  
测压 	 Pressure test 	  Испытания  под  давлением  
测量孔	Survey report 	Измерительный отверстие
测量报告	Survey report 	Доклад  об  исследовании
混凝土强度试验	Concrete strength test	Испытание на прочность бетона
电磁探伤测试	EMT electromagnetic test	Электромагнитное  тестирование  
磁性粒子测试	Magnetic particle testing	Магнитопорошковая дефектоскопия
第四方报告 	 Fourth party report 	  Отчёты  четвёртой  стороны
结算	Act of completes works 	  Акт  выполненных  работ
行星齿轮减速器 	Gear box 	Редуктор
超声波探伤	Ultrasonic testing	 Ультразвуковое испытание
人员计划 	 labor plan 	  План  рабочей  силы  
任务书 	 Work order 	  Приказ  о  назначении  
会议记录	Minutes of meeting 	Протокол  совещания  
初步预算文件	Initial estimate documentation 	ИСД  (исходно-сметная  документация)  
压缩文件 	 Compressed file 	  Архивированный  файл  
图列	Symbols 	Условные обозначения 
图纸 	 Drawing 	  Чертеж  
基本说明 	General description	Общее описание
方案/计划 	Action Plan 	  План  работ  
施工过程文件 	 Legal document 	  Нормативные  документы  (施工日志等)
行动计划	Action plan 	План действий 
计划任务观察 	 PTOs 	  Плановое  наблюдение  за  выполнением  задания
计划预算文件	Design estimate documentation 	ПСД  (проектно-сметная  документация)  
许可 	 Permission 	  Разрешение  
赶工计划/追赶计划 	 Catch up plan 	План  срочных  работ/План  наверстывания  
边防证 	 Border permission/border card 	  Пограничный  пропуск  
高空作业许可 	 Work at height permit 	  Разрешение  на  работу  на  высоте
临时转水站 	 Temporary water transfer station 	  Временная  насосная  станция  
临时配电所 	 Temporary substation 	  Временный  электрораспределительный  пункт  
主配电站 	 Central substation 	  Главная  распределительная  подстанция  
井口区域 	 Bank area 	  Приустьевой  участок
人行道 	 Walkway 	  Пешеходная  дорожка  
人行道 	Sidewalk 	Тротуары
仓库 	 Warehouse  	  Склад  /  Складское  помещение  
倒碴区	Tipping area 	Разгрузочная  площадка  
倾卸区 	 Tipping area 	  Зона  сброса  
加工车间 	 Workshop 	  Ремонтный  бокс  
加油站	Fuel station 	  АЗС  автозаправочная  станция
变电所	Substantion	Подстанция
变电站 	 Substation  	  Трансформатор  
地下仓库 	 Underground fuel storage 	  Подземный  склад
废物通道的站立	Standing of waste pass 	Простой  породаспуска  
提升机房 	 Winder house  	  Здание  подъемной  машины    
搅拌站 	 Batching plant 	  БРУ  
暖房	Calorifier 	Калориферная  
机修间 	 Mechanical workshop 	  Цех/помещение  ремонта  и  обслуживания  
机房 	 Machine room 	  Машинное  отделение  
永居配电所 	 Permanent substation 	  Постоянный  электро  распределительный  пункт  
泥浆制备站 	 Slurry preparation station 	  Станция  подготовки  шлама  
消防材料仓库	Warehouse of fire protection materials	Склад противопожарных материалов 
消防泵站	Fire Pump Station	Насосная станция пожаротушения 
润滑站	Lubrication system 	Смазочная  станция  
液压站	Hydraulic system 	Гидравлика  (маслостанция)  
混合室厂房	Mixing room plant	Здание камеры смешения 
灯房间 	 Lamp room 	  Ламповая  комната  
炸药库	Explosive storage magazine 	Склад  взрывчатых  веществ   
炸药库 	 Magazine  	  Склад  взрывчатки  
电工模块式厂房	Electrician modular plant	Электротехническое блочно-модульное здание (БМЗ)
矿井降级变电站 	Mine stepdown substation 	ГПП  главная  поверхностная  подстанция  
粘土仓库室	Clay storage room 	Помещение  для  хранения  глины  
维修站 	Repair bay 	Ремонтный  пункт  
转运泵房	Dewatering station 	Перекачная  насосная  станция  
钢筋加工车间 	 Boilermaker workshop 	  Цех  по  производству  стали
锅炉房 	 Boiler house 	  Котельная  
风压站 	 Wind pressure station 	  Компрессорная  станция  
井口区域作业人员 	 Bank personnel 	  Операторы  в  устьевой  зоне  скважины
实验室人员	laboratory people	лаборантский  состав
普工	General worker 	Рабочий
木工	Carpenter 	Плотник
机械工	Mechanic	Механик  
浇灰工 	 Construction worker 	  Бетонщик  
焊工	Welder 	Сварщик
环境工 	 Environmentalist 	  Эколог  
装配工 	 Fitter 	  Сборщик/монтажник  
起重工 	 Rigger 	  Стропальщик  
钢筋工 	 Steel fixer 	  Арматурщик  
钻工 	 Driller 	  Бурильщик  
井筒倒碴工	Tip attendant 	Стволовщик
井筒操作工	Banksman 	Стволовой  (регулировщик)  
估计员 	Estimator 	Оценщик
修理工	Fitter 	Слесарь
吊物工人 	 Slinger 	  Стоповщик  
喷浆工/湿喷工 	 Wetcrete operator 	  Оператор  торкрета/мокрого    торкрета
国家专家评估委员会 	State expert appraisal committee 	Государственная  экспертиза  
工长 	 Mining foreman 	  Горный  мастер  
打眼工 	 Driller 	  Бурильщик  
抓岩工	Cactus grab operator 	Оператор  грейфера  кактуса
指挥员	Spotters	Регулировщик  (по  технике)  
操作员/司机 	 Operator 	  Оператор  
设计员 	 Design supervision 	  Авторский  надзор  
安全工 	 Safety worker 	  Работник  по  Тб
备品备件	Spares	Запасные части 
		
 幅板-固定卷筒	Hub plate – Fixed Drum	Пластина втулки – Фиксированный барабан
 幅板-游动 卷筒	Hub plate – Clutched Drum	Пластина втулки – Бараьан с цепной муфтой
 拉伸强度 	Tensile strength	Нагрузка на растяжение
 气割机 	Gas cutting torch 	Газовый  резак  
 深度指示器 	Depth indicator 	Индикатор  глубины  
 用于离合操作的液压站	Hydraulic station for clutch operation	Гидравлическая станция для срабатывания муфты
 绳卡 	Crosby clamps 	Канатный  зажим  
 配电柜	Switchgear	Распределительное  устройство  
(装弹机)装药机	(Shot loader) Charging machine 	Зарядная  машина  
1号雨水净化设施	No. 1 rainwater purification facility	Очистные сооружения дождевых стоков №1
2号排水渠	No. 2 Drainage Canal	Водоотводная канава 
三相额定电压 	Voltage, 3-phase, nominal 	Электрическое напряжение, 3-фазное, номинальное 
三相额定辅助电压	Auxiliary supply voltage, 3-phase, nominal 	Вспомогательное напряжение питания,  3-фазное, номинальное  
上料斗	Travis car 	Загрузочный  бункер  
下垂 	 Sag 	  Свисать/обвисать  
下料管	Concreate lounder 	Питающий  рукав
下降/放 	 Lower 	  Опускание/опустить  
业主	Owner	Заказчик
中间水平	Haulage level 	Промежуточный  горизонт  
临时建筑	Temporary buildings	Временное сооружения
临时支护	Temporary support 	Временное  крепление  (опоры)  
临时支护 	 Temporary support 	  Опора/Стойка  
临时砖锁口 	 Temporary brick 	  Временная  защитная  кирпичная  стенка  
主凿 	 Main sink 	  Главный  период  проходки  
主凿井 	 Main sinking 	  Основная  проходка  
主轴	Main shaft 	ведущий  вал
主轴	Drum shaft	Вал барабана
主轴承	Shaft Bearings	Подшипники вала
井口地坪	Bank concrete 	Бетон нулевой площадки
井口建筑打桩机	Headgear with shaft structure 	Копер с надшахтным зданием 
井壁 	 Shaft wall 	  Стены  ствола/скважины  
井底 	 Shaft bottom 	  Дно  ствола  
井架 	 Headgear 	  Копер  
井架溜槽 	 Headgear chute 	  Разгрузочная  эстакада  
井筒 	 Shaft 	  Ствол  
井筒内梯道 	 Ladder way 	  Лестничное  отделение  
井筒混凝土衬砌	Shaft concrete lining	Бетонную крепь ствола
井颈/口 	 Shaft collar 	  Устье  ствола  
交流 	 AC  	  Переменный  ток  
交流/互动 	 Interaction 	  Диалоговое  взаимодействие  
休假 	 On leave 	  На  отпуске  
伞钻 	 Jumbo 	Джамбо  буровая  машина
伞钻机 	Jumbo, drilling machine, drilling rig 	Буровой  станок,  карета,  буровая  машина  
传送带 	 Conveyor 	  Конвейер
伸缩缝 	 Expansion joint  	  Швы  расширения
低压 	 low voltage  	  Низкий  вольтаж  
作业平台 	 Operational platform 	  Операционная  платформа  
使用条 件及基础数据	General Conditions and Basic Data 	Общие условия и основные данные
供电 	 Power supply 	  Электроснабжение  
供电/电源箱 	 Power box 	  Источник  питания/блок  питания
供电电缆 	 Power cable 	  Кабель  
供电设施	Power supply facility 	Объект энергоснабжения 
保养/维修 	 Maintenance 	  Обслуживание  
保护伞 	 Canopy 	  Купол  
保温室 	 Insulation room  	  Парник  
保温层 	 Insulation sheet 	  Изоляционное  полотно  
保温板 	 Insulation board 	  Термоизоляционная  плита
保温棉 	 Insulation cotton 	  Изолирующая  вата
保温棚 	 Heat preservation shed 	  Теплоизоляционное  укрытие  
信号室 	 Signal room 	  Сигнальный  кабинет  
信号放大器 	 Signal amplifier 	  Усилитель  сигнала  
信号电缆 	 Signal cable 	  Сигнальный  кабель  
信号码	Signal code 	Сигнальный  код  
修坡 	 Slope finishing 	  Ремонт  склонов  
修改和调整	Revision and adjustment 	Ревизия и наладка 
修正工程 	 Finishing work 	  Благоустройство  
倒车喇叭	 Reverse horn 	  Реверсивный  гудок
倾倒/翻到 	 Tip 	  Сброс/вываливать  
假定设计边界	Conditional boundary of the design 	Условная граница проектирования 
偏差	Deviation	Отклонения
停工 	 Work stoppage 	  Приостановка  
储存室 	 Store/Storage Room 	  Складское  помещение  
储料仓 	 Material storage yard/Material warehouse 	  Склад  материалов
储气罐 	 Gas tank 	  Газовый  резервуар/емкость  
储罐 	 Storage tank 	  Резервуар  
兆帕	Mpa	Мега  паскали  
光纤电缆	Fiber optic cable 	Оптико-волоконный  кабель  
公差	Deviation 	Отступление/отклонение  
养护 	 Curing  	  Консервация  
军事化矿山救护队	Paramilitary rescue team (unit) 	ВГСЧ  (Военизированная  горноспасательная  часть)  
冲击器 	 Impactor 	  Ударное  устройство/импактор
冲击性能 	Impact performance	Ударопрочность
冻土 	 Frozen soil 	  Замерзающий  грунт  
冻裂 	 Frost cracking 	  Трещины  от  мороза  
净化器 	 Purifier 	  Очистное  сооружение  
准备完好/到位 	 In place  	  На  месте  
减少 	 Minimize 	  Уменьшать/сокращать
减速器/减速机	 Reducer/Gearbox   	  Редуктор  
减速度 	Retardation	Торможение 
出水管 	 outlet pipe 	  Выходные  трубы  
出渣/冲洗	Muckng/lashing	Выпуск шлака/жидкое шлакоудаление
凿岩机	Rock drill machine 	Бурильный  молоток  
凿岩机/破碎锤 	 Rock breaker 	  Бутобой  
分包商	subcontractor	субподрядчик
分包商	Sub-contractor 	Субподрядчик
分灰器 	 Launder 	  Вымывать
分荷梁 	 Spreader beam 	  Распределительный  брус  
初步审查 	Preliminary examination 	Предварительная  экспертиза  
到位传感器 	 Positioning sensor 	  Датчик  положения  
制作 	 Manufacture 	  Изготовление  
制动卡钳 	 Brake caliper 	  Тормозные  суппорты
制动控制系统 	 Brake Control System 	 Система управления тормозами 
制动盘外径 	Brake disc outer diameter 	Наружный диаметр тормозного диска 
制动系统	Brake System	Тормозная система 
制动臂	Brake arm 	Тормозной рычаг
刹车系统	Brake system 	Тормозная  система  
加固注浆	Reinforced and grouted 	  армированный  и  зацементированный  
加工 	 Processing  	  Отработка  
加工间	Processing workshop	
加护	Support (casing)	Опора 
加热器、风炮 	 Heater 	  Нагреватель  
加热板 	 Sandwich panels for the heater 	  Панели  отопления(сандвич  образные)  
加速度 	Acceleration 	Ускорение 
动力机组	Power Unit	Энерго комплекс 
升降平台 	 Boom lift 	  Подъемная  платформа  
升降机	Manlift truck	Манипулятор  с  люлькой  
升降车 	 Man lift 	  Подъемник  с  люлькой  
单液浆	Cement only (no additives)	Только  цемет  (без  добавок)
卫生 	 Hygiene 	  Гигиена  
卷扬机室	Winder room 	Здание подъемной машины 
卷筒	7-+	Барабан подъемника
卷筒壳 – 两个卷筒 	Drum shell – Both Drums	Обечайка барабана – Обоих барабанов
卷筒限位套-游动卷筒 	Drum Distance Piece – Clutched Drum	Дистанционная распорка – Барабан с цепной муфтой
卸下 	 Offload/unload 	  Разгружать  
卸扣	Shackles	Скобы,  мочка  (такелаж)  
卸料 	 Discharge 	  Разгрузка  排出
卸料平台	Tipping platform 	Решетка  Разгрузочная  платформа  
卸料罐	Discharge tank 	Разгрузочный  бункер  
卸矿栈桥	Unloading ramp	Разгрузочная эстакада 
厂家	Manufacture	Завод/производитель  
压力容器	Pressure vessel 	Сосуды  под  давлением  
压力计 	 Manometer 	  Монометр  
压实 	 Compaction 	  Уплотнение  
压缩机/空压机 	 Compressor  	  Компрессор  
原来的问题	Root causes 	Первопричина
参数	Parameters	Параметры
参数 	 Parameters 	  Параметры  
双液浆	Two-shot grouting	двухзарядная  цементация
反光条 	 Reflective tape 	  Светоотражающая  лента  
发电机 	 Generator 	  Генератор  
取水井 	 Borehole 	  Скважина  
取矸石	Waste dump 	Отвал
取芯钻进 	 Cored and Drilled 	  Отбор  проб  и  бурение  (кернинг)
变压器 	 Transformer 	  Трансформатор  
变形 	 Deformation 	  Деформация  
可燃材料	Combustible material 	Горючий  материал  
台架	Stand	Стеллаж
合格	Meet requirements 	Соответствует  требованиям  
吊桶 	 Kibble 	  Бадья  
吊环螺栓 	 Eye bolt 	Подвесной  кольцевой  болт  
吊盘 	 Stage 	  Платформа  
吊篮 	 Bucket 	  Подвесная  люлька
吊索 	 Sling (arm of a crane) 	  Стропа  
吊耳	Lifting (Slinging) Lugs 	Подъемные  ушки  
吊臂 	 boom 	  Стрела  (подъёмного  крана)
吊装验算	Lifting calculation 	Расчет  подъема,  План  подъема  
吊轮/吊龙/天轮 	 Sheave wheel 	  Шкив  
吊钩 	 Hook 	  Крюк  
吊顶 	 Ceiling 	  Потолок  
名称	Name 	Наименование 
吨位/载重量 	 Tonnage 	  Тон
含水层 	 Water bearing bed/aquifer 	  Водносный  слой
吸收	Absorption 	Впитывание
告示板 	 Notice board 	  Информационная  доска  
周边/外围 	 Periphery 	  Периферийность  
商品交易所	Commodity exchange 	Товарная  биржа  
喇叭口	Flares/bell mouth	Раструб,  Воронка  
喷嘴 	 Nozzle 	  Сопло  
喷浆机 	 Wetcrete machine 	  Торкрет  машина  
喷混凝土 	 Concrete spraying 	  Спрей  бетона  (Торкрет)  
噪音等级 	Noise level 	Уровень  шума  
回填 	 Backfill 	  Обратная  засыпка  
围栏 	 Fence 	  Ограждение  решетчатое  
固定 	 Install 	  Укрепить  
圈筋 	 Horizontal reinforcement 	  Горизонтальная  арматура  
地下水位 	 Water table 	  Уровень  подземной  воды  
地层	Strata (layer of sedimentary rock or soil) 	Пласт,  прослойка  
地沟	Service pit 	Смотровая  яма  
场地 	 Yard 	  Участок  
坚固	Solid 	Сплошные/цельные  
坠物	 Falling objects 	  Падающие  объекты
坠落防护器	Sala block 	Страховочный  блок  с  втяжным  тросом  
坡道/坡 	 Slope 	  Склон  
垂直采矿工程 	Vertical capital mining works 	Вертикальные  выработки  
型钢 	 Profile steel 	  Профильная  сталь  
垫层 	 Blinding 	  подушка  (под  фундамент)
垫层绕筑 	 Blinding casting 	  бетонирование  подушки  
垫木 	 Plank 	  Настил/  брус
垫片 	 Washer 	  Прокладки/  уплотняющая  прокладка
垫铁	Sizing block 	Железная  прокладка/Подкладка  
垫铁 	 Sizing block 	  Железная  прокладка  (стойка,  поддержка)
城市建设	Urban Development 	Градостроительство
培训室 	 Training room  	  Кабинет  инструктажа  
基坑 	 Box cut 	  Котлован  
基岩	Bedrock	коренная  порода  
基岩 	 Bed rock 	  Скальное  основание  
基础 	 Foundation 	  Фундамент  
堆放	Stacking	Штабелирование,  Укладка  (материалов)  
堆放 	 Pile 	  Укладка/Штабелированные/Свая
堵水效果 	 Water plugging effect 	  Эффект  изоляции  водопротоков
塌落 	 Fall of ground 	  Вывала  
塔建 	 Erection 	  Воздвигать  пагоду  (башню)
塞子	Plug 	Затычка,  закупорка  
填写 	 Fill 	  Заполнять/заполнить  
填缝/勾缝 	 Joint  	  Заделка  швов/связка
墙 	 Wall 	  Стена  
增压泵	Booster pump 	Бустерный  насос/Усилитель  
壁座 	 Tow 	  Опорный  венец  
壕沟	Trench 	Углубление/траншея  
声光报警器 	 Audible and visual alarm 	  Светозвуковой  оповещатель  
备注	Note 	Примечание 
备用方案 	 Alternative scheme 	  Альтернативный  план  
备足	Fully prepare 	Полностью  подготовить  
复训、巩固培训 	 Refresher training 	  Повторный  инструктаж
外伸脚架 	 Outrigger 	  Расширяющаяся  подставка  
多插头 	Multi plug 	Удлинитель  для  розеток  
多级泵	Stage water tank pump 	Ступенчатый  насос  
大锤	Sledgehammer 	Кувалда
天轮装置	Head sheaves	Шкивы 
太阳能灯 	 Solar light 	  Солнечный  фонарик  
夹具/夹子 	 Clamp 	  Зажим  
套环 	 Thimble  	  Кольцо,  коуш  (A  thimble  is  a  small  pitted  cup  worn  on  the  finger  that  protects  it  from  being  pricked  or  poked  by  a  needle  while  sewing.)
套管 	 Casing pipe 	  Обсадочная  труба  
套管孔 	 Casing hole 	  Скважина  с  обсадочной  трубой  
套管安装 	 Casing installation 	  Монтаж  обсадной  трубы  
安装 	 Install/installation 	  Установка  
定位 	 Position  	  Позиционировать
定期 	 On regular basis 	  На  регулярной  основе  
定量控制	Batching control 	Контроль  дозирования  
实际偏差角度	Actual angle of deviation 	Фактический  угол  отклонения  
审查、检查 	 Audit  	  Аудит\проверка  
容器	Vessel	Сосуд
容积为250立方米的净化雨水蓄水池	Purified rainwater reservoir with a volume of 250 cubic meters	Резервуар очищенных дождевых стоков емкостью 250 м3
容积为4立方米的污水坑	Sump pit with a volume of 4 cubic meters	Выгреб емкостью 4м3
对讲机 	 Radio communication 	  Рация
导向管	Guiding pipe	Направляющая труба
封印	Seal 	Пломба
封口 	 Sealing 	  Запечатывание
封闭 	 Close 	  Закрыть  
尼龙绳	Nylon rope 	Нейлоновая  веревка  
尽快 	 ASAP/ as quickly as possible 	  Как  можно  скорее/  в  кратчайшие  сроки
尾矿管理设施 	 Tailing dam 	  Хвостохранилище  
屈服强度 	Yield strength	Предел текучести
屋架 	 Truss 	  Каркас  строения  
屋面板	Shingle 	Кровельная  дощечка  
岩心筒	Core Barrel 	Керноотборник
岩心资料	Core log data 	Образцы  горной  породы  
岩棉板 	 Stone wool board 	  Панель  из  минеральной  ваты  
工作 	 At work 	  На  работе/работающий  
工作面 	 Face 	  Забой  
工勘	 Engineering survey 	  Инженерные  изыскания
工地 	 Work site 	  Рабочая  площадка  
工时 	 Work hours 	  Рабочее  время
已执行 	 Implemented 	  Выполнено/реализовано
布线、接线 	 Wiring  	  Электропроводка  
布置	Arrangement	Расположение,  распланировка  
布置 	 Layout 	  Макет/планировка  
布置/安排 	 Arrangement 	  Организовать/распланировать  
布置图	Layout	Схема  размещения/расположения  
帷幕注浆	Cover drilling and cementation 	  Бурение  и  цементация  
帷幕注浆 	 Cover drilling and cementation 	  Бурение  и  цементация  
干喷 	 Shotcrete 	  Торкрет  
平台 	 Platform  	  Платформа
平均进尺 	 Average penetration rate 	  Средний  уровень  проходки  
平板夯	 Small plate compactor 	  Вибро
平衡锤/配重 	 Counterweight 	  Противовес  
序列号 	 Serial number 	  Серийный  номер  
序号	No. on the plan 	Номер на плане 
底模 	 Bottom shutter 	  Нижняя  опалубка  
底部/地板 	 Floor 	  Пол  
废物在室内储存 	Storing of waste in chamber 	Складирование  породы  в  магазинах  
废石 	 Waste rock 	  Пустая  порода  
延伸率 	Elongation	Удлинение
延长	Extension	Удлинение
延长 	 Extension 	  Продлевать/удлинять
延长线	Extension cord 	Электрический  удлинитель  
建筑物 	Buildings and structures 	Здания и сооружения 
建筑物一览表	List of buildings and structures 	Экспликация зданий и сооружений 
开关柜子	Electrical box (Distribution board) 	Электрический  щит  
开孔圈 	 Opening ring 	Кольцо  закладка  скважины
开孔直径 	 Opening diameter 	Диаметр  закладной  скважины
开挖 	 Excavate/Excavation  	  Разработка  грунта  (выемка)  
张紧装置 	 Tensioning device 	  Натяжное  устройство  
弯曲	 Bend 	  Изгиб/искривление  
弯曲机	Bending machine 	Гибочный  станок  
弯管 	 Elbow pipe 	  Сгибающейся    труба  
彩钢瓦 	 Covering sheet material 	  Профлист/профнастил
影响/后果 	 Effects/aftermath 	  Последствия  
影响/耽误 	 Affect 	  Влияние/влияние/задерживать  
循环 	 Cycle 	  Цикл/циркуляция  
循环水 	 Circulating water 	  Циркуляционная  вода
循环进尺	Cycle footage 	Цикл  глубины  бурения  (проходки)  
微粉水泥	Microfine cement 	Микротонкий цемент
总体条件	General Conditions 	Общие условия
总体规划 	Master plan 	Общий  план  
悉知 	 Be aware of 	  Ознакомить  
悬吊 	 Suspend 	  Подвесной  
悬吊钢丝	Suspended rope 	Подвесной  трос  
意见摘要 	Punch list  	Свод  замечаний  
成套“罐笼送风”井	Air-supply-cage complex	Комплекс"Воздухоподающей-Клетевой"
扁钢	Flat bar 	Стальные  полосы  
手动报警 	 Manual alarm 	  Механическая  сигнализация  
手拉葫芦 	 chain block 	  Ручные  цепные  лебёдки
手推车	Trolley	Тележка
手枪钻机	Pistol drill 	Пистолетная  дрель  
打结 	 Knot 	  Узел/завязать  узел  
打钻	Drilling	  Бурение  
打钻 	 Drilling 	  Бурение  
托架、托盘 	 Tray 	  Лоток  
扩散半径 	 Diffusion radius 	  Радиус  диффузии
扫孔 	 Re-drill/ Clean 	Повторное  просверливание  /  чистка  
扬声器 	 Speaker 	  Громкоговорители  
扬尘等级	Dust level 	Уровень  пыли  
扶手 	 Handrail 	  Перила  
批准 	 Approve 	  Согласование  (Approval)
找坡 	 Sloping  	  Поиск  склонов  
找平 / 整平 	 Leveling  	  Балансировать/выравнивать  
承包商	Contractor 	Подрядчик
技术监察	Technical Supervision	Технический  надзор
抓岩机	Grab loader/cactus grab 	Грейферный  погрузчик
抓岩机 diao4dou3 	 Cableway bucket/grab 	  Грейфер/бадья  (экскаватор  на  тросе)  
投光灯/照明灯 	Flood light 	Прожектор/прожекторное  освещение  
抗 	 Pit 	  Приямок  
护坡 	 Slope protection 	  Защита  
护栏 	 Guardrail 	  Ограждение  
抹灰 	 Plastering  	  Штукатурить  
拆除 	 Strip 	  Снимать/снять  
拉车线 	Trolley wire 	Троллейные  проводки  
拓展 	Expansion 	Расширение
拖延 	 Lagging 	  Задержка
招聘 	 Recruit 	  Найм  
拟建	Designated	Проектируемые
拱墙 	 Arch wall 	  Сводчатые  стена  
拼接/搭接长度 	 Overlap length 	  Длина  нахлестки  
拼装/组装 	 Assemble 	  Сборка/монтаж
挂牌上锁制度 	 LOTO lockout tagout 	  Система  пломбирования  LOTO
挂钩 	 Hook 	  Крюк/защёлка
指示器/指标	Indicator	Показатель
按照 	 According to 	  Согласно  чему  
挖掘机	Excavator	Экскаватор  
振动器/震动泵 	 Electrical vibrator 	  Строительный  вибратор  
换班室 	 Change room and Lamp room 	  Комната  для  переодевания  и  ламповая  комната  
排列次序	Sequence	Порядок  размещения,  последовательность  
排放门 	Discharge Gate 	Затвор  слива  
排水沟 	 Drain 	  Дренажная  канава  
排水沟 	Drainage ditch	Водоотводной ковет 
排水管 	 Drain pipe 	  Дренажные  трубы  
排水管 	 Drain pipe 	  Дренажные  трубы  
排水系统 	 Drainage system  	  Дренажная  система  
掘进作业 	 Excavation operation 	  Операция  по  выемке  грунта
探水注浆 	 Cover drilling and cementation 	  Гидроизоляция  и  цементация
探照柱	Illumination column	Прожекторная мачта 
探照灯 	 Searchlight 	  Прожектор  
接口/接头/缝 	 Joint  	  Стыки/швы
接地 	 Earthing/Grounding 	  Заземление  
接地漏电 	 Earth leakage 	  Электр.  Утечка  в  заземлений  
接地网 	 Earthing grid 	  Сеть  заземления  
接地隐蔽工程	Earthing hidden works 	Скрытые  работы  на  контур  заземления  
接头	Fittings and couplings 	Муфты  и  шарниры  
接杆 	 Extention rod 	  Удлинительная  штанга  
接线盒 	 Junction box 	  Распределительная  коробка
控制电压 	Control Voltage 	Напряжение оперативного тока
控制箱 	 Control box 	  Блок  управления  
推土场 	 Dumping site 	  Отвал  (Dumping  area)
推车器 	 Car pusher 	  Толкатель  
提交 	 Submit 	  Сдать/сдавать  
提人载荷 	Payload (Man Hoisting) 	Полезная грузоподъемность (при подъеме людей) 
提供 	 Provide/Present 	  Предоставить  
提前 	 In advance 	  Заранее/Предварительно  
提升/吊 	 Lift 	  Поднимать/поднять  
提升机 	 Winder 	  Подъемная  машина  
提升电机	Hoisting Motor	Двигатель подъемника
提升转移 	 lift and shift 	  Подъём  и  передвижение  
提升轮	Pulley 	Шкив
提升速度	Hoisting speed 	Скорость  подъема  
插座 	 Socket  	  Розетка  
插销 	 Pin 	  Штифт  (крепёжное  изделие  в  виде  цилиндрического  или  конического  стержня,  предназначенное  для  неподвижного  соединения)
揭露情况 	 Exposure 	  Раскрытие  информации  
搅拌 	 Batch 	  Замес  
搅拌车 	 Miller 	  Бетононасос
搭建 	 Erection duration 	  Продолжительность  монтажа  
摇摆 	 Swing 	  Качается  
撬下浮石	Roof scaling/Barring (all sides) 	Оборка  заколов  
撬棍	Scaling bar 	Оборочный  лом  
操车机 	 Car handling machine 	  Манипулятор  
操车系统 	Mine Car Operating System	 Операционная система шахтной вагонетки 
擦拭布片	Cleaning cloth 	Обтирочная  ветошь  
支护 	 Support 	  Опора/Стойка  
支撑 	 Support 	  Крепи  
支架 	 Bracket  	  Кранштейны  
支腿板	Out riggers 	Выносные  опоры  
改造 	 Modification 	  Реконструкция  
放置 	 Place 	  Положить  
散水坡 	 Water slope 	  Водяной  склон  
数字硬盘录像机	DVR (digital video recorder) 	Видеорегистратор
整体墙 	 Concrete wall 	  Монолитная  стена  井架房的混凝土墙
文明生产	Housekeeping 	Чистота  и  порядок  
